,count,mean,std,min,25%,50%,75%,max
case,140343.0,0.06480576457570597,1.6497862031900883,-6.5776599725222775,-1.0471674616360878,0.06755708876695676,1.180302211891822,7.310334861642295
control,357239.0,1.199328665786002,1.6900133360279213,-6.486687103672048,0.056110766722566374,1.1950083160387412,2.3379896605809263,8.699187009215668
